word,comparative,superlative,adverb,nom_sg_masc,gen_sg_masc,dat_sg_masc,acc_sg_masc,abl_sg_masc,nom_sg_fem,gen_sg_fem,dat_sg_fem,acc_sg_fem,abl_sg_fem,nom_sg_neut,gen_sg_neut,dat_sg_neut,acc_sg_neut,abl_sg_neut,nom_pl_masc,gen_pl_masc,dat_pl_masc,acc_pl_masc,abl_pl_masc,nom_pl_fem,gen_pl_fem,dat_pl_fem,acc_pl_fem,abl_pl_fem,nom_pl_neut,gen_pl_neut,dat_pl_neut,acc_pl_neut,abl_pl_neut
sceptriger,sceptrigerior,sceptrigerrimus,sceptrigere,sceptriger,sceptrigeri,sceptrigero,sceptrigerum,sceptrigero,sceptrigera,sceptrigerae,sceptrigerae,sceptrigeram,sceptrigera,sceptrigerum,sceptrigeri,sceptrigero,sceptrigerum,sceptrigero,sceptrigeri,sceptrigerorum,sceptrigeris,sceptrigeros,sceptrigeris,sceptrigerae,sceptrigerarum,sceptrigeris,sceptrigeras,sceptrigeris,sceptrigera,sceptrigerorum,sceptrigeris,sceptrigera,sceptrigeris
silviger,silvigerior,silvigerrimus,silvigere,silviger,silvigeri,silvigero,silvigerum,silvigero,silvigera,silvigerae,silvigerae,silvigeram,silvigera,silvigerum,silvigeri,silvigero,silvigerum,silvigero,silvigeri,silvigerorum,silvigeris,silvigeros,silvigeris,silvigerae,silvigerarum,silvigeris,silvigeras,silvigeris,silvigera,silvigerorum,silvigeris,silvigera,silvigeris
securiger,securigerior,securigerrimus,securigere,securiger,securigeri,securigero,securigerum,securigero,securigera,securigerae,securigerae,securigeram,securigera,securigerum,securigeri,securigero,securigerum,securigero,securigeri,securigerorum,securigeris,securigeros,securigeris,securigerae,securigerarum,securigeris,securigeras,securigeris,securigera,securigerorum,securigeris,securigera,securigeris
sylviger,sylvigerior,sylvigerrimus,sylvigere,sylviger,sylvigeri,sylvigero,sylvigerum,sylvigero,sylvigera,sylvigerae,sylvigerae,sylvigeram,sylvigera,sylvigerum,sylvigeri,sylvigero,sylvigerum,sylvigero,sylvigeri,sylvigerorum,sylvigeris,sylvigeros,sylvigeris,sylvigerae,sylvigerarum,sylvigeris,sylvigeras,sylvigeris,sylvigera,sylvigerorum,sylvigeris,sylvigera,sylvigeris
somniger,somnigerior,somnigerrimus,somnigere,somniger,somnigeri,somnigero,somnigerum,somnigero,somnigera,somnigerae,somnigerae,somnigeram,somnigera,somnigerum,somnigeri,somnigero,somnigerum,somnigero,somnigeri,somnigerorum,somnigeris,somnigeros,somnigeris,somnigerae,somnigerarum,somnigeris,somnigeras,somnigeris,somnigera,somnigerorum,somnigeris,somnigera,somnigeris
sortiger,sortigerior,sortigerrimus,sortigere,sortiger,sortigeri,sortigero,sortigerum,sortigero,sortigera,sortigerae,sortigerae,sortigeram,sortigera,sortigerum,sortigeri,sortigero,sortigerum,sortigero,sortigeri,sortigerorum,sortigeris,sortigeros,sortigeris,sortigerae,sortigerarum,sortigeris,sortigeras,sortigeris,sortigera,sortigerorum,sortigeris,sortigera,sortigeris
salutiger,salutigerior,salutigerrimus,salutigere,salutiger,salutigeri,salutigero,salutigerum,salutigero,salutigera,salutigerae,salutigerae,salutigeram,salutigera,salutigerum,salutigeri,salutigero,salutigerum,salutigero,salutigeri,salutigerorum,salutigeris,salutigeros,salutigeris,salutigerae,salutigerarum,salutigeris,salutigeras,salutigeris,salutigera,salutigerorum,salutigeris,salutigera,salutigeris
teliger,teligerior,teligerrimus,teligere,teliger,teligeri,teligero,teligerum,teligero,teligera,teligerae,teligerae,teligeram,teligera,teligerum,teligeri,teligero,teligerum,teligero,teligeri,teligerorum,teligeris,teligeros,teligeris,teligerae,teligerarum,teligeris,teligeras,teligeris,teligera,teligerorum,teligeris,teligera,teligeris
spumiger,spumigerior,spumigerrimus,spumigere,spumiger,spumigeri,spumigero,spumigerum,spumigero,spumigera,spumigerae,spumigerae,spumigeram,spumigera,spumigerum,spumigeri,spumigero,spumigerum,spumigero,spumigeri,spumigerorum,spumigeris,spumigeros,spumigeris,spumigerae,spumigerarum,spumigeris,spumigeras,spumigeris,spumigera,spumigerorum,spumigeris,spumigera,spumigeris
stelliger,stelligerior,stelligerrimus,stelligere,stelliger,stelligeri,stelligero,stelligerum,stelligero,stelligera,stelligerae,stelligerae,stelligeram,stelligera,stelligerum,stelligeri,stelligero,stelligerum,stelligero,stelligeri,stelligerorum,stelligeris,stelligeros,stelligeris,stelligerae,stelligerarum,stelligeris,stelligeras,stelligeris,stelligera,stelligerorum,stelligeris,stelligera,stelligeris
altirostris,altirostrior,altirostrissimus,altirostriter,altirostris,altirostris,altirostri,altirostrem,altirostri,altirostris,altirostris,altirostri,altirostrem,altirostri,altirostre,altirostris,altirostri,altirostre,altirostri,altirostres,altirostrium,altirostribus,altirostris,altirostribus,altirostres,altirostrium,altirostribus,altirostris,altirostribus,altirostria,altirostrium,altirostribus,altirostria,altirostribus
Vicentiensis,Vicentiensior,Vicentiensissimus,Vicentiensiter,Vicentiensis,Vicentiensis,Vicentiensi,Vicentiensem,Vicentiensi,Vicentiensis,Vicentiensis,Vicentiensi,Vicentiensem,Vicentiensi,Vicentiense,Vicentiensis,Vicentiensi,Vicentiense,Vicentiensi,Vicentienses,Vicentiensium,Vicentiensibus,Vicentiensis,Vicentiensibus,Vicentienses,Vicentiensium,Vicentiensibus,Vicentiensis,Vicentiensibus,Vicentiensia,Vicentiensium,Vicentiensibus,Vicentiensia,Vicentiensibus
Vicetiensis,Vicetiensior,Vicetiensissimus,Vicetiensiter,Vicetiensis,Vicetiensis,Vicetiensi,Vicetiensem,Vicetiensi,Vicetiensis,Vicetiensis,Vicetiensi,Vicetiensem,Vicetiensi,Vicetiense,Vicetiensis,Vicetiensi,Vicetiense,Vicetiensi,Vicetienses,Vicetiensium,Vicetiensibus,Vicetiensis,Vicetiensibus,Vicetienses,Vicetiensium,Vicetiensibus,Vicetiensis,Vicetiensibus,Vicetiensia,Vicetiensium,Vicetiensibus,Vicetiensia,Vicetiensibus
Vicentinus,Vicentinior,Vicentinissimus,Vicentine,Vicentinus,Vicentini,Vicentino,Vicentinum,Vicentino,Vicentina,Vicentinae,Vicentinae,Vicentinam,Vicentina,Vicentinum,Vicentini,Vicentino,Vicentinum,Vicentino,Vicentini,Vicentinorum,Vicentinis,Vicentinos,Vicentinis,Vicentinae,Vicentinarum,Vicentinis,Vicentinas,Vicentinis,Vicentina,Vicentinorum,Vicentinis,Vicentina,Vicentinis
Vicetinus,Vicetinior,Vicetinissimus,Vicetine,Vicetinus,Vicetini,Vicetino,Vicetinum,Vicetino,Vicetina,Vicetinae,Vicetinae,Vicetinam,Vicetina,Vicetinum,Vicetini,Vicetino,Vicetinum,Vicetino,Vicetini,Vicetinorum,Vicetinis,Vicetinos,Vicetinis,Vicetinae,Vicetinarum,Vicetinis,Vicetinas,Vicetinis,Vicetina,Vicetinorum,Vicetinis,Vicetina,Vicetinis
bipalmus,bipalmior,bipalmissimus,bipalme,bipalmus,bipalmi,bipalmo,bipalmum,bipalmo,bipalma,bipalmae,bipalmae,bipalmam,bipalma,bipalmum,bipalmi,bipalmo,bipalmum,bipalmo,bipalmi,bipalmorum,bipalmis,bipalmos,bipalmis,bipalmae,bipalmarum,bipalmis,bipalmas,bipalmis,bipalma,bipalmorum,bipalmis,bipalma,bipalmis
